Codigo;Municipio;Indice
7468;ESTIVA GERBI;0,014043865
3001;ESTRELA DO NORTE;0,0034309
3013;ESTRELA D'OESTE;0,019731204
7250;EUCLIDES DA CUNHA PAULISTA;0,009721953
3025;FARTURA;0,029643471
3037;FERNANDO PRESTES;0,009575707
3049;FERNANDOPOLIS;0,166429677
7869;FERNÃO;0,00129198
3050;FERRAZ DE VASCONCELOS;0,237209072
3062;FLORA RICA;0,002262024
3074;FLOREAL;0,004287251
3086;FLORIDA PAULISTA;0,01940893
3098;FLORINEA;0,004081749
3104;FRANCA;0,061817351
3116;FRANCISCO MORATO;0,202861737
3128;FRANCO DA ROCHA;0,235998979
3130;GABRIEL MONTEIRO;0,00463603
3141;GALIA;0,009867027
3153;GARCA;0,096787443
3165;GASTÃO VIDIGAL;0,006658397
7870;GAVIÃO PEIXOTO;0,005024105
3177;GENERAL SALGADO;0,021567433
3189;GETULINA;0,016311234
3190;GLICERIO;0,005140488
3207;GUAICARA;0,018255937
3219;GUAIMBE;0,008489254
3220;GUAIRA;0,003227232
3232;GUAPIACU;0,018596274
3244;GUAPIARA;0,017771471
3256;GUARA;0,001249812
3268;GUARACAI;0,011473711
3270;GUARACI;0,009966334
3281;GUARANI D'OESTE;0,002966937
3293;GUARANTÃ;0,009852168
3300;GUARARAPES;0,017757552
3311;GUARAREMA;0,068500766
3323;GUARATINGUETA;0,20755105
3335;GUAREI;0,015181835
3347;GUARIBA;0,063767158
3359;GUARUJA;0,20715175
3360;GUARULHOS;2,070002967
7262;GUATAPARA;0,012226723
3372;GUZOLANDIA;0,004044664
3384;HERCOLANDIA;0,009051704
7470;HOLAMBRA;0,035236915
7481;HORTOLANDIA;0,283543003
3396;IACANGA;0,023510861
3402;IACRI;0,009396811
7274;IARAS;0,00640763
3414;IBATE;0,04373238
3426;IBIRA;0,011088607
3438;IBIRAREMA;0,009526002
3440;IBITINGA;0,125859519
3451;IBIUNA;0,132100761
3463;ICEM;0,011214253
3475;IEPE;0,01325202
3487;IGARACU DO TIETE;0,040020695
3499;IGARAPAVA;0,040177135
3505;IGARATA;0,013335205
3517;IGUAPE;0,046688818
7675;ILHA COMPRIDA;0,023855805
7493;ILHA SOLTEIRA;0,066530854
3529;ILHABELA;0,064967255
3530;INDAIATUBA;0,450002967
3542;INDIANA;0,007746914
3554;INDIAPORÃ;0,008138344
3566;INUBIA PAULISTA;0,005683126
3578;IPAUSSU;0,019498879
3580;IPERO;0,04063478
3591;IPEUNA;0,015717808
7845;IPIGUA;0,002317124
3608;IPORANGA;0,00513548
3610;IPUÃ;0,000380699
3621;IRACEMAPOLIS;0,048283751
3633;IRAPUÃ;0,009292281
3645;IRAPURU;0,009342795
3657;ITABERA;0,023917465
3669;ITAI;0,038586481
3670;ITAJOBI;0,03233378
3682;ITAJU;0,004771875
3694;ITANHAEM;0,218798593
7500;ITAOCA;0,002865803
3700;ITAPECERICA DA SERRA;0,239534553
3712;ITAPETININGA;0,255705601
3724;ITAPEVA;0,090515556
3736;ITAPEVI;0,348623958
3748;ITAPIRA;0,155813805
7687;ITAPIRAPUÃ PAULISTA;0,002835287
3750;ITAPOLIS;0,099073104
3761;ITAPORANGA;0,021053537
3773;ITAPUI;0,023941519
3785;ITAPURA;0,007070215
3797;ITAQUAQUECETUBA;0,439323704
3803;ITARARE;0,028334037
3815;ITARIRI;0,014973404
3827;ITATIBA;0,323846787
3839;ITATINGA;0,017480201
3840;ITIRAPINA;0,027851475
3852;ITIRAPUA;0,002787209
3864;ITOBI;0,005182326
3876;ITU;0,370778817
3888;ITUPEVA;0,142652206
3890;ITUVERAVA;0,003966463
3906;JABORANDI;0,005761481
3918;JABOTICABAL;0,201911279
3920;JACAREI;0,324562517
3931;JACI;0,009135314
3943;JACUPIRANGA;0,025238689
3955;JAGUARIUNA;0,129206519
3967;JALES;0,114222454
3979;JAMBEIRO;0,012992191
3980;JANDIRA;0,216783717
3992;JARDINOPOLIS;0,003093569
4005;JARINU;0,059135871
4017;JAU;0,265948886
4029;JERIQUARA;0,002093358
4030;JOANOPOLIS;0,02214532
4042;JOÃO RAMALHO;0,005278145
4054;JOSE BONIFACIO;0,061311749
4066;JULIO MESQUISTA;0,006639474
7882;JUMIRIM;0,006367152
4078;JUNDIAI;1,080002967
4080;JUNQUEIROPOLIS;0,03687698
4091;JUQUIA;0,024789475
4108;JUQUITIBA;0,052777984
4110;LAGOINHA;0,007767486
4121;LARANJAL PAULISTA;0,056345221
4133;LAVINIA;0,000893718
4145;LAVRINHAS;0,004514085
4157;LEME;0,178577703
4169;LENCOIS PAULISTA;0,146453185
4170;LIMEIRA;0,403210781
4182;LINDOIA;0,017119001
4194;LINS;0,185032617
4200;LORENA;0,119393879
7699;LOURDES;0,003275114
4212;LOUVEIRA;0,092716068
4224;LUCELIA;0,042497184
4236;LUCIANOPOLIS;0,003568144
4248;LUIZ ANTONIO;0,014153853
4250;LUIZIANIA;0,006813703
4261;LUPERCIO;0,006018104
4273;LUTECIA;0,004631921
4285;MACATUBA;0,029636065
4297;MACAUBAL;0,011221349
4303;MACEDONIA;0,006497184
4315;MAGDA;0,004467439
4327;MAIRINQUE;0,112144481
4339;MAIRIPORÃ;0,201305098
4340;MANDURI;0,016771385
4352;MARABA PAULISTA;0,003868946
4364;MARACAI;0,024284345
7511;MARAPOAMA;0,005761303
4376;MARIAPOLIS;0,004948238
4388;MARILIA;0,46361498
